model,task,n,accuracy,balanced_accuracy,macro_f1,roc_auc,pr_auc,brier_score,concordance_index,n_events
full_multimodal,subtype,148,0.8648648648648649,0.7608771929824562,0.7903661911858633,0.9429781116308377,0.8045422407857579,,,
full_multimodal,er,155,0.9096774193548387,0.887357178340785,0.8708333333333333,0.9232488822652758,0.8822911957214132,0.08265075832605362,,
full_multimodal,pr,155,0.864516129032258,0.8123599701269604,0.8345111596929178,0.8663181478715458,0.8714804718587872,0.14269161224365234,,
full_multimodal,her2,134,0.7761194029850746,0.5741421568627452,0.5764854614412136,0.7735906862745098,0.6962538081558589,0.167232483625412,,
full_multimodal,survival,160,,,,,,,0.7112441783100466,23.0
genomics_only,subtype,148,0.8648648648648649,0.7721052631578947,0.7911981094589791,0.9621509164894798,0.8432392417492677,,,
genomics_only,er,155,0.9225806451612903,0.8845007451564828,0.8845007451564828,0.9182811723795329,0.8763296460805868,0.08218856155872345,,
genomics_only,pr,155,0.8580645161290322,0.79798356982823,0.8229858803986712,0.8651979088872294,0.8763213040511417,0.14729173481464386,,
genomics_only,her2,134,0.8283582089552238,0.6727941176470589,0.7032829498411476,0.8033088235294117,0.7930067274612361,0.14373964071273804,,
genomics_only,survival,160,,,,,,,0.6007984031936128,23.0
clinical_only,subtype,148,0.49324324324324326,0.20821052631578948,0.16491228070175437,0.45048851954631103,0.21737577323862514,,,
clinical_only,er,155,0.7870967741935484,0.5,0.4404332129963899,0.4772727272727273,0.5021806903455577,0.20078639686107635,,
clinical_only,pr,155,0.6645161290322581,0.5,0.3992248062015504,0.4978528752800597,0.5317750566738,0.23621270060539246,,
clinical_only,her2,134,0.7611940298507462,0.5,0.4322033898305085,0.5410539215686275,0.5454008260795096,0.18826118111610413,,
clinical_only,survival,160,,,,,,,0.7371922821024618,23.0
full_multimodal_minus_genomics_only,subtype,148,0.0,-0.011228070175438587,-0.0008319182731157948,-0.019172804858642145,-0.03869700096350981,,,
full_multimodal_minus_genomics_only,er,155,-0.012903225806451646,0.002856433184302176,-0.013667411823149456,0.00496770988574291,0.005961549640826402,0.0004621967673301697,,
full_multimodal_minus_genomics_only,pr,155,0.006451612903225823,0.01437640029873033,0.011525279294246626,0.0011202389843164573,-0.004840832192354538,-0.004600122570991516,,
full_multimodal_minus_genomics_only,her2,134,-0.05223880597014918,-0.09865196078431371,-0.126797488399934,-0.02971813725490191,-0.09675291930537722,0.02349284291267395,,
full_multimodal_minus_genomics_only,survival,160,,,,,,,0.11044577511643383,23.0
full_multimodal_minus_clinical_only,subtype,148,0.37162162162162166,0.5526666666666666,0.6254539104841089,0.49248959208452664,0.5871664675471328,,,
full_multimodal_minus_clinical_only,er,155,0.1225806451612903,0.387357178340785,0.43040012033694347,0.4459761549925485,0.38011050537585556,-0.11813563853502274,,
full_multimodal_minus_clinical_only,pr,155,0.19999999999999996,0.3123599701269604,0.4352863534913674,0.3684652725914861,0.3397054151849872,-0.09352108836174011,,
full_multimodal_minus_clinical_only,her2,134,0.014925373134328401,0.07414215686274517,0.1442820716107051,0.23253676470588225,0.15085298207634934,-0.02102869749069214,,
full_multimodal_minus_clinical_only,survival,160,,,,,,,-0.02594810379241519,23.0
