run,task,n,accuracy,macro_precision,macro_recall,balanced_accuracy,macro_f1,roc_auc_ovr_macro,pr_auc_macro,majority_class_accuracy,n_positive,n_negative,roc_auc,pr_auc_positive_class,pr_auc_macro_both_classes,brier_score,decision_threshold,positive_precision,positive_recall,positive_specificity,positive_f1,positive_support,positive_n_predicted_positive,n_evaluable,n_events,n_censored,concordance_index,median_followup_months
full_multimodal,subtype,148,0.8648648648648649,0.8714226633581472,0.7608771929824562,0.7608771929824562,0.7903661911858633,0.9429781116308377,0.8045422407857579,0.5135135135135135,,,,,,,,,,,,,,,,,,
full_multimodal,er,155,0.9096774193548387,0.8571919377004122,0.887357178340785,0.887357178340785,0.8708333333333333,,,0.7870967741935484,122,33,0.9232488822652758,0.9669747204331595,0.8822911957214132,0.08265075665178023,0.5,0.9576271186440678,0.9262295081967213,0.8484848484848485,0.9416666666666667,122.0,118.0,,,,,
full_multimodal,pr,155,0.864516129032258,0.8831882730187814,0.8123599701269604,0.8123599701269604,0.8345111596929178,,,0.6645161290322581,103,52,0.8663181478715458,0.9103982391674128,0.8714804718587872,0.1426916031747724,0.5,0.847457627118644,0.970873786407767,0.6538461538461539,0.9049773755656109,103.0,118.0,,,,,
full_multimodal,her2,134,0.7761194029850746,0.6951612903225806,0.5741421568627452,0.5741421568627452,0.5764854614412136,,,0.7611940298507462,32,102,0.7735906862745098,0.47583325479851624,0.6962538081558589,0.1672324903498263,0.5,0.6,0.1875,0.9607843137254902,0.2857142857142857,32.0,10.0,,,,,
full_multimodal,survival,,,,,,,,,,,,,,,,,,,,,,,160,23,137,0.7112441783100466,28.520235061645508
genomics_only,subtype,148,0.8648648648648649,0.8300980392156863,0.7721052631578947,0.7721052631578947,0.7911981094589791,0.9621509164894798,0.8432392417492677,0.5135135135135135,,,,,,,,,,,,,,,,,,
genomics_only,er,155,0.9225806451612903,0.8845007451564828,0.8845007451564828,0.8845007451564828,0.8845007451564828,,,0.7870967741935484,122,33,0.9182811723795329,0.9521093824043099,0.8763296460805868,0.08218856613082395,0.5,0.9508196721311475,0.9508196721311475,0.8181818181818182,0.9508196721311475,122.0,122.0,,,,,
genomics_only,pr,155,0.8580645161290322,0.887943607194944,0.79798356982823,0.79798356982823,0.8229858803986712,,,0.6645161290322581,103,52,0.8651979088872294,0.9096921193244569,0.8763213040511417,0.1472917409068543,0.5,0.8347107438016529,0.9805825242718447,0.6153846153846154,0.9017857142857143,103.0,121.0,,,,,
genomics_only,her2,134,0.8283582089552238,0.8159663865546218,0.6727941176470589,0.6727941176470589,0.7032829498411476,,,0.7611940298507462,32,102,0.8033088235294117,0.6886734777023309,0.7930067274612361,0.14373965422255272,0.5,0.8,0.375,0.9705882352941176,0.5106382978723404,32.0,15.0,,,,,
genomics_only,survival,,,,,,,,,,,,,,,,,,,,,,,160,23,137,0.6007984031936128,28.520235061645508
clinical_only,subtype,148,0.49324324324324326,0.15063145809414466,0.20821052631578948,0.20821052631578948,0.16491228070175437,0.45048851954631103,0.21737577323862514,0.5135135135135135,,,,,,,,,,,,,,,,,,
clinical_only,er,155,0.7870967741935484,0.3935483870967742,0.5,0.5,0.4404332129963899,,,0.7870967741935484,122,33,0.4772727272727273,0.7627789300328446,0.5021806903455577,0.2007864036525533,0.5,0.7870967741935484,1.0,0.0,0.8808664259927798,122.0,155.0,,,,,
clinical_only,pr,155,0.6645161290322581,0.33225806451612905,0.5,0.5,0.3992248062015504,,,0.6645161290322581,103,52,0.4978528752800597,0.6479096647956046,0.5317750566738,0.23621270238754302,0.5,0.6645161290322581,1.0,0.0,0.7984496124031008,103.0,155.0,,,,,
clinical_only,her2,134,0.7611940298507462,0.3805970149253731,0.5,0.5,0.4322033898305085,,,0.7611940298507462,32,102,0.5410539215686275,0.2900545825863088,0.5454008260795096,0.1882611768087474,0.5,0.0,0.0,1.0,0.0,32.0,0.0,,,,,
clinical_only,survival,,,,,,,,,,,,,,,,,,,,,,,160,23,137,0.7371922821024618,28.520235061645508
