task,explained_output,rank,modality,feature,mean_abs_shap,mean_shap,feature_shap_correlation,direction
er,er_margin,1,genomic,ESR1,0.2718895573006952,-0.04595009627398253,0.9321321821751013,higher feature value increases the output
er,er_margin,2,genomic,FOXC1,0.15469887993819198,-0.020897524743646808,-0.871550453579182,higher feature value decreases the output
er,er_margin,3,genomic,MAPT,0.06377458563782508,-0.016579724990902878,0.8680680896025261,higher feature value increases the output
er,er_margin,4,genomic,NAT1,0.05305139709825878,-0.007372059700714192,0.8930182962610624,higher feature value increases the output
er,er_margin,5,genomic,ANLN,0.0459324061576672,-0.008406770191777308,-0.6576253583315471,higher feature value decreases the output
er,er_margin,6,genomic,ERBB2,0.03986417069786824,-0.0021570869674792065,-0.7013672749529565,higher feature value decreases the output
er,er_margin,7,clinical,age,0.037297253644412734,0.0014145311290712699,0.33549722067808985,higher feature value increases the output
er,er_margin,8,clinical,stage_III,0.036854538372374825,0.0018181009002525886,-0.8793195676595889,higher feature value decreases the output
er,er_margin,9,genomic,CDH3,0.0365497039281953,-0.0093784022701536,-0.7232863559257108,higher feature value decreases the output
er,er_margin,10,genomic,CEP55,0.03574911025686862,0.0023487965822351236,-0.7730464426360943,higher feature value decreases the output
er,er_margin,11,genomic,CDC6,0.03502458025499366,-0.0036128399641028467,-0.8516652813636048,higher feature value decreases the output
er,er_margin,12,genomic,RRM2,0.03127907922283088,-0.0012998826789304137,-0.7971211133199559,higher feature value decreases the output
er,er_margin,13,genomic,MLPH,0.029859774556724117,-0.0027141683372098554,0.851322983560488,higher feature value increases the output
er,er_margin,14,genomic,CXXC5,0.029469400563649464,-0.0012508812815130931,0.8188789410174536,higher feature value increases the output
er,er_margin,15,clinical,nodal_N0,0.026330272549706452,-0.00248855294204713,0.24455002864387038,higher feature value increases the output
er,er_margin,16,genomic,CCNE1,0.025736149707362183,-0.005278426243562654,-0.872864032655745,higher feature value decreases the output
er,er_margin,17,genomic,CENPF,0.0247534524167439,0.0020285953336595716,-0.6735255755940869,higher feature value decreases the output
er,er_margin,18,clinical,nodal_N2,0.022550009635191482,-0.003300132641345683,-0.9087721345395005,higher feature value decreases the output
er,er_margin,19,genomic,PHGDH,0.02204473024561792,-0.005312929148774883,-0.5896424389084384,higher feature value decreases the output
er,er_margin,20,genomic,TMEM45B,0.020177102421843156,0.0036029933544042434,-0.4931805364270831,higher feature value decreases the output
pr,pr_margin,1,genomic,ESR1,0.17161021997666767,-0.02794162909353986,0.9139563357939751,higher feature value increases the output
pr,pr_margin,2,genomic,FOXC1,0.13501846207891946,-0.014966000629724094,-0.870109136527108,higher feature value decreases the output
pr,pr_margin,3,genomic,MAPT,0.046840167881303366,-0.011818286874557136,0.8908547959393875,higher feature value increases the output
pr,pr_margin,4,genomic,CEP55,0.0394052561770548,0.002337503927253246,-0.9205099236575247,higher feature value decreases the output
pr,pr_margin,5,genomic,NAT1,0.03703576912566485,-0.004687269622446035,0.9135141575466861,higher feature value increases the output
pr,pr_margin,6,genomic,ANLN,0.031189830232440135,-0.004393204163934685,-0.7610387241163943,higher feature value decreases the output
pr,pr_margin,7,genomic,CDH3,0.027797833607900755,-0.007463272000466716,-0.7318850067349006,higher feature value decreases the output
pr,pr_margin,8,genomic,CDC6,0.026942101257180103,-0.0027054961370047994,-0.8958054375681466,higher feature value decreases the output
pr,pr_margin,9,genomic,ERBB2,0.024891478733295908,-0.0009432872231212388,-0.695293037315605,higher feature value decreases the output
pr,pr_margin,10,clinical,stage_III,0.022800106574034838,0.002284298293782508,-0.9491873759609786,higher feature value decreases the output
pr,pr_margin,11,genomic,CCNE1,0.02231832012938978,-0.003570974226288293,-0.8781555297423742,higher feature value decreases the output
pr,pr_margin,12,genomic,RRM2,0.02075445783953855,-0.00035309741023906296,-0.7957254418064234,higher feature value decreases the output
